rd,prime,buffer_from,buffer_to,packet_id,injection_rd
33,1,7,8,32,28
33,1,6,7,33,28
33,1,5,6,37,29
33,1,4,5,35,29
33,1,3,4,34,29
33,1,2,3,36,29
33,1,1,2,38,30
33,1,0,1,39,31
33,1,0,-1,40,32
33,1,-1,-2,41,33
34,0,8,9,31,24
34,0,7,8,32,28
34,0,6,7,33,28
34,0,5,6,37,29
34,0,4,5,35,29
34,0,3,4,34,29
34,0,2,3,36,29
34,0,1,2,38,30
34,0,0,1,39,31
34,0,0,-1,40,32
34,0,-1,-2,41,33
34,0,-2,-3,42,34
34,1,8,9,32,28
34,1,7,8,33,28
34,1,6,7,37,29
34,1,5,6,36,29
34,1,4,5,35,29
34,1,3,4,34,29
34,1,2,3,38,30
34,1,1,2,39,31
34,1,0,1,40,32
34,1,0,-1,41,33
34,1,-1,-2,42,34
35,0,8,9,32,28
35,0,7,8,33,28
35,0,6,7,37,29
35,0,5,6,36,29
35,0,4,5,35,29
35,0,3,4,34,29
35,0,2,3,38,30
35,0,1,2,39,31
35,0,0,1,40,32
35,0,0,-1,41,33
35,0,-1,-2,42,34
35,0,-2,-3,43,35
35,1,8,9,33,28
35,1,7,8,36,29
35,1,6,7,37,29
35,1,5,6,34,29
35,1,4,5,35,29
35,1,3,4,38,30
35,1,2,3,39,31
35,1,1,2,40,32
35,1,0,1,41,33
35,1,0,-1,42,34
35,1,-1,-2,43,35
36,0,8,9,33,28
36,0,7,8,36,29
36,0,6,7,37,29
36,0,5,6,34,29
36,0,4,5,35,29
36,0,3,4,38,30
36,0,2,3,39,31
36,0,1,2,40,32
36,0,0,1,41,33
36,0,0,-1,42,34
36,0,-1,-2,43,35
36,1,8,9,36,29
36,1,7,8,34,29
36,1,6,7,37,29
36,1,5,6,35,29
36,1,4,5,38,30
36,1,3,4,39,31
36,1,2,3,40,32
36,1,1,2,41,33
36,1,0,1,42,34
36,1,0,-1,43,35
37,0,8,9,36,29
37,0,7,8,34,29
37,0,6,7,37,29
37,0,5,6,35,29
37,0,4,5,38,30
37,0,3,4,39,31
37,0,2,3,40,32
37,0,1,2,41,33
37,0,0,1,42,34
37,0,0,-1,43,35
37,0,-1,-2,45,37
37,0,-2,-3,44,37
37,1,8,9,34,29
37,1,7,8,37,29
37,1,6,7,35,29
37,1,5,6,38,30
37,1,4,5,39,31
37,1,3,4,40,32
37,1,2,3,41,33
37,1,1,2,42,34
37,1,0,1,43,35
37,1,0,-1,45,37
37,1,-1,-2,44,37
38,0,8,9,34,29
38,0,7,8,37,29
38,0,6,7,35,29
38,0,5,6,38,30
38,0,4,5,39,31
38,0,3,4,40,32
38,0,2,3,41,33
38,0,1,2,42,34
38,0,0,1,43,35
38,0,0,-1,45,37
38,0,-1,-2,44,37
38,0,-2,-3,46,38
38,1,8,9,37,29
38,1,7,8,35,29
38,1,6,7,38,30
38,1,5,6,39,31
38,1,4,5,40,32
38,1,3,4,41,33
38,1,2,3,42,34
38,1,1,2,43,35
38,1,0,1,45,37
38,1,0,-1,44,37
38,1,-1,-2,46,38
39,0,8,9,37,29
39,0,7,8,35,29
39,0,6,7,38,30
39,0,5,6,39,31
39,0,4,5,40,32
39,0,3,4,41,33
39,0,2,3,42,34
39,0,1,2,43,35
39,0,0,1,45,37
39,0,0,-1,44,37
39,0,-1,-2,46,38
39,1,8,9,35,29
39,1,7,8,38,30
39,1,6,7,39,31
39,1,5,6,40,32
39,1,4,5,41,33
39,1,3,4,42,34
39,1,2,3,43,35
39,1,1,2,44,37
39,1,0,1,45,37
39,1,0,-1,46,38
40,0,8,9,35,29
40,0,7,8,38,30
40,0,6,7,39,31
40,0,5,6,40,32
40,0,4,5,41,33
40,0,3,4,42,34
40,0,2,3,43,35
40,0,1,2,44,37
40,0,0,1,45,37
40,0,0,-1,46,38
40,0,-1,-2,47,40
40,1,8,9,38,30
40,1,7,8,39,31
40,1,6,7,40,32
40,1,5,6,41,33
40,1,4,5,42,34
40,1,3,4,43,35
40,1,2,3,44,37
40,1,1,2,45,37
40,1,0,1,46,38
40,1,0,-1,47,40
41,0,8,9,38,30
41,0,7,8,39,31
41,0,6,7,40,32
41,0,5,6,41,33
41,0,4,5,42,34
41,0,3,4,43,35
41,0,2,3,44,37
41,0,1,2,45,37
41,0,0,1,46,38
41,0,0,-1,47,40
41,1,8,9,39,31
41,1,7,8,40,32
41,1,6,7,41,33
41,1,5,6,42,34
41,1,4,5,43,35
41,1,3,4,44,37
41,1,2,3,45,37
41,1,1,2,46,38
41,1,0,1,47,40
42,0,8,9,39,31
42,0,7,8,40,32
42,0,6,7,41,33
42,0,5,6,42,34
42,0,4,5,43,35
42,0,3,4,44,37
42,0,2,3,45,37
42,0,1,2,46,38
42,0,0,1,47,40
42,1,8,9,40,32
42,1,7,8,41,33
42,1,6,7,42,34
42,1,5,6,43,35
42,1,4,5,45,37
42,1,3,4,44,37
42,1,2,3,46,38
42,1,1,2,47,40
42,1,0,1,-1,-1
43,0,8,9,40,32
43,0,7,8,41,33
43,0,6,7,42,34
43,0,5,6,43,35
43,0,4,5,45,37
43,0,3,4,44,37
43,0,2,3,46,38
43,0,1,2,47,40
43,0,0,1,48,43
43,0,0,-1,49,43
43,1,8,9,41,33
43,1,7,8,42,34
43,1,6,7,43,35
43,1,5,6,45,37
43,1,4,5,44,37
43,1,3,4,46,38
43,1,2,3,47,40
43,1,1,2,48,43
43,1,0,1,49,43
44,0,8,9,41,33
44,0,7,8,42,34
44,0,6,7,43,35
44,0,5,6,45,37
44,0,4,5,44,37
44,0,3,4,46,38
44,0,2,3,47,40
44,0,1,2,48,43
44,0,0,1,49,43
44,1,8,9,42,34
44,1,7,8,43,35
44,1,6,7,45,37
44,1,5,6,44,37
44,1,4,5,46,38
44,1,3,4,47,40
44,1,2,3,48,43
44,1,1,2,49,43
44,1,0,1,-1,-1
45,0,8,9,42,34
45,0,7,8,43,35
45,0,6,7,45,37
45,0,5,6,44,37
45,0,4,5,46,38
45,0,3,4,47,40
45,0,2,3,48,43
45,0,1,2,49,43
45,0,0,1,-1,-1
45,1,8,9,43,35
45,1,7,8,45,37
45,1,6,7,44,37
45,1,5,6,46,38
45,1,4,5,47,40
45,1,3,4,49,43
45,1,2,3,48,43
45,1,1,2,-1,-1
45,1,0,1,-1,-1
46,0,8,9,43,35
46,0,7,8,45,37
46,0,6,7,44,37
46,0,5,6,46,38
46,0,4,5,47,40
46,0,3,4,49,43
46,0,2,3,48,43
46,0,1,2,50,46
46,0,0,1,51,46
46,0,0,-1,52,46
46,1,8,9,45,37
46,1,7,8,44,37
46,1,6,7,46,38
46,1,5,6,47,40
46,1,4,5,48,43
46,1,3,4,49,43
46,1,2,3,50,46
46,1,1,2,51,46
46,1,0,1,52,46
47,0,8,9,45,37
47,0,7,8,44,37
47,0,6,7,46,38
47,0,5,6,47,40
47,0,4,5,48,43
47,0,3,4,49,43
47,0,2,3,50,46
47,0,1,2,51,46
47,0,0,1,52,46
47,0,0,-1,53,47
47,0,-1,-2,54,47
47,1,8,9,44,37
47,1,7,8,46,38
47,1,6,7,47,40
47,1,5,6,48,43
